base,slope,mom_win,k,thresh,tl_c,ts_c,tl_s,cd,sharpe,ann_ret,vol,mdd,n_events,eq_final
ALL|std|w63,5Y-2Y,5,0.1,opt_tight,-3.25,2.75,-4.0,5,0.2206014395237718,0.04337557161832506,0.10596291515045228,-0.23607758712951166,28,2.0641217426265523
ALL|std|w63,5Y-2Y,5,0.1,opt_loose,-3.5,2.75,-4.0,5,0.2206014395237718,0.04337557161832506,0.10596291515045228,-0.23607758712951166,28,2.0641217426265523
ALL|std|w63,5Y-2Y,5,0.1,baseline,-3.5,3.0,-4.0,5,0.16658094142850957,0.0357132117832597,0.09432778833227591,-0.23607758712951166,21,1.8201192321728994
ALL|std|w63,5Y-2Y,5,0.1,aggr,-3.0,2.5,-3.5,5,0.038096439963970975,0.024146998266692643,0.1088552702198576,-0.2635287541728307,44,1.5026508565933903
ALL|std|w63,5Y-2Y,5,0.15,opt_tight,-3.25,2.75,-4.0,5,0.24375819814574098,0.04633693037906017,0.10804531121170144,-0.23607758712951288,31,2.166424043426509
ALL|std|w63,5Y-2Y,5,0.15,opt_loose,-3.5,2.75,-4.0,5,0.24375819814574098,0.04633693037906017,0.10804531121170144,-0.23607758712951288,31,2.166424043426509
ALL|std|w63,5Y-2Y,5,0.15,baseline,-3.5,3.0,-4.0,5,0.22313203771019777,0.04258588535060204,0.10122206377165979,-0.23607758712951243,23,2.0376196928555896
ALL|std|w63,5Y-2Y,5,0.15,aggr,-3.0,2.5,-3.5,5,0.038096439963970975,0.024146998266692643,0.1088552702198576,-0.2635287541728307,48,1.5026508565933903
ALL|std|w63,5Y-2Y,5,0.2,opt_tight,-3.25,2.75,-4.0,5,0.23723376183526884,0.04568298714447572,0.10826025328683847,-0.23607758712951288,35,2.1434307242866844
ALL|std|w63,5Y-2Y,5,0.2,opt_loose,-3.5,2.75,-4.0,5,0.23723376183526884,0.04568298714447572,0.10826025328683847,-0.23607758712951288,34,2.1434307242866844
ALL|std|w63,5Y-2Y,5,0.2,baseline,-3.5,3.0,-4.0,5,0.1961149041608762,0.040922051229358214,0.10668261710591623,-0.23607758712951288,27,1.9828259254138736
ALL|std|w63,5Y-2Y,5,0.2,aggr,-3.0,2.5,-3.5,5,-0.06977515456681321,0.012714856585869905,0.10440884666409739,-0.2635287541728297,50,1.2406584749388345
ALL|std|w63,5Y-2Y,5,0.25,opt_tight,-3.25,2.75,-4.0,5,0.2265896275252775,0.04456275201077098,0.10840192589147024,-0.236077587129511,38,2.1045751100901295
ALL|std|w63,5Y-2Y,5,0.25,opt_loose,-3.5,2.75,-4.0,5,0.2265896275252775,0.04456275201077098,0.10840192589147024,-0.236077587129511,36,2.1045751100901295
ALL|std|w63,5Y-2Y,5,0.25,baseline,-3.5,3.0,-4.0,5,0.1961149041608762,0.040922051229358214,0.10668261710591623,-0.23607758712951288,29,1.9828259254138736
ALL|std|w63,5Y-2Y,5,0.25,aggr,-3.0,2.5,-3.5,5,-0.06977515456681321,0.012714856585869905,0.10440884666409739,-0.2635287541728297,52,1.2406584749388345
ALL|std|w63,5Y-2Y,5,0.3,opt_tight,-3.25,2.75,-4.0,5,0.12249319012190893,0.033276872131927204,0.10838865506493593,-0.2635287541728316,43,1.7484093128943572
ALL|std|w63,5Y-2Y,5,0.3,opt_loose,-3.5,2.75,-4.0,5,0.12249319012190893,0.033276872131927204,0.10838865506493593,-0.2635287541728316,40,1.7484093128943572
ALL|std|w63,5Y-2Y,5,0.3,baseline,-3.5,3.0,-4.0,5,0.14810047288142825,0.03547116777601289,0.10446399984420962,-0.23502229616705395,35,1.8128730645331153
ALL|std|w63,5Y-2Y,5,0.3,aggr,-3.0,2.5,-3.5,5,0.09913563944316921,0.029993771696217086,0.10080907080794234,-0.2350222961670556,62,1.655975860401674
ALL|std|w63,5Y-2Y,5,0.4,opt_tight,-3.25,2.75,-4.0,5,0.09480061055327516,0.030228237722433215,0.10789210810710176,-0.2635287541728317,51,1.6624214498650787
ALL|std|w63,5Y-2Y,5,0.4,opt_loose,-3.5,2.75,-4.0,5,0.07375578511188924,0.028087712115898666,0.10965529149516094,-0.26352875417283084,50,1.6044434775342715
