#,signal_date,exec_date,exit_date,signal,position,regime,z_composite,z_rr_base,z_slope_mom,tlt_price,shv_price,holding_days,trade_pnl,equity_after
1,2010-05-05,2010-05-07,2010-12-17,SHORT,100% SHV,STRESS,-4.539,-3.811,-1.456,93.89,110.18,224,1.875,0.9014
2,2010-12-15,2010-12-17,2011-06-30,LONG,100% TLT,CALM,3.096,2.468,1.257,90.94,110.23,195,0.922,0.9183
3,2011-06-28,2011-06-30,2011-07-27,LONG,100% TLT,CALM,2.934,3.125,-0.382,94.88,110.24,27,1.658,0.9267
4,2011-07-25,2011-07-27,2012-03-16,LONG,100% TLT,CALM,2.822,3.046,-0.448,95.0,110.24,233,18.88,0.9421
5,2012-03-14,2012-03-16,2012-03-23,LONG,100% TLT,CALM,2.871,2.356,1.029,111.04,110.2,7,1.597,1.12
6,2012-03-21,2012-03-23,2012-08-03,LONG,100% TLT,CALM,3.344,2.724,1.24,111.79,110.18,133,12.552,1.1379
7,2012-08-01,2012-08-03,2012-10-26,LONG,100% TLT,CALM,3.129,2.992,0.275,128.78,110.21,84,-4.555,1.2807
8,2012-10-24,2012-10-26,2012-11-06,LONG,100% TLT,CALM,3.118,2.755,0.726,121.48,110.21,11,-0.693,1.2223
9,2012-11-02,2012-11-06,2012-12-21,LONG,100% TLT,CALM,2.776,2.432,0.689,122.26,110.22,45,0.378,1.2139
10,2012-12-19,2012-12-21,2013-05-15,LONG,100% TLT,CALM,2.794,1.846,1.896,120.91,110.23,145,-3.836,1.2185
11,2013-05-13,2013-05-15,2013-05-31,LONG,100% TLT,CALM,2.781,2.088,1.386,117.84,110.24,16,-2.645,1.1717
12,2013-05-29,2013-05-31,2013-06-24,LONG,100% TLT,CALM,3.583,2.756,1.654,115.17,110.23,24,-4.893,1.1407
13,2013-06-20,2013-06-24,2013-07-01,LONG,100% TLT,CALM,3.498,2.536,1.923,110.27,110.23,7,1.433,1.0849
14,2013-06-27,2013-07-01,2013-07-09,LONG,100% TLT,CALM,3.233,2.43,1.606,109.69,110.23,8,-2.726,1.1004
15,2013-07-05,2013-07-09,2014-10-17,LONG,100% TLT,CALM,3.568,2.54,2.057,106.26,110.25,465,13.305,1.0704
16,2014-10-15,2014-10-17,2014-12-16,SHORT,100% SHV,STRESS,-5.39,-4.827,-1.125,122.53,110.26,60,-0.0,1.2129
17,2014-12-12,2014-12-16,2015-05-04,SHORT,100% SHV,CALM,-3.855,-3.025,-1.661,126.3,110.25,139,-0.985,1.2129
18,2015-04-30,2015-05-04,2015-05-11,LONG,100% TLT,CALM,3.485,3.051,0.868,125.95,110.28,7,-2.687,1.2009
19,2015-05-07,2015-05-11,2015-05-18,LONG,100% TLT,CALM,3.592,2.871,1.443,122.18,110.29,7,0.017,1.1687
20,2015-05-14,2015-05-18,2015-06-05,LONG,100% TLT,CALM,3.141,1.942,2.398,119.2,110.28,18,-1.631,1.1689
21,2015-06-03,2015-06-05,2015-06-12,LONG,100% TLT,CALM,4.011,2.204,3.613,117.52,110.29,7,0.298,1.1498
22,2015-06-10,2015-06-12,2015-12-30,LONG,100% TLT,CALM,3.303,1.293,4.019,115.52,110.28,201,1.823,1.1532
23,2015-12-28,2015-12-30,2016-02-16,SHORT,100% SHV,CALM,-3.594,-3.065,-1.058,122.19,110.21,48,0.082,1.1742
24,2016-02-11,2016-02-16,2016-06-15,SHORT,100% SHV,STRESS,-4.268,-3.766,-1.005,133.72,110.31,120,0.054,1.1752
25,2016-06-13,2016-06-15,2016-11-11,SHORT,100% SHV,CALM,-3.93,-3.646,-0.567,135.38,110.39,149,-0.666,1.1758
26,2016-11-09,2016-11-11,2016-11-18,LONG,100% TLT,CALM,5.677,3.628,4.098,124.57,110.39,7,-0.975,1.168
27,2016-11-16,2016-11-18,2016-11-28,LONG,100% TLT,CALM,3.933,2.11,3.645,123.01,110.34,10,0.712,1.1566
28,2016-11-23,2016-11-28,2016-12-05,LONG,100% TLT,CALM,3.502,1.945,3.114,120.64,110.33,7,-1.84,1.1648
29,2016-12-01,2016-12-05,2016-12-14,LONG,100% TLT,CALM,3.468,1.835,3.266,118.73,110.31,9,-2.218,1.1434
30,2016-12-12,2016-12-14,2018-01-30,LONG,100% TLT,CALM,2.791,1.305,2.972,117.72,110.31,412,4.443,1.118
31,2018-01-26,2018-01-30,2018-05-17,LONG,100% TLT,CALM,3.622,3.918,-0.592,123.59,110.33,107,-4.754,1.1677
32,2018-05-15,2018-05-17,2018-08-14,LONG,100% TLT,CALM,2.755,1.72,2.071,117.25,110.31,89,3.581,1.1122
33,2018-08-10,2018-08-14,2018-08-22,SHORT,100% SHV,CALM,-3.585,-2.603,-1.964,120.66,110.35,8,0.054,1.152
34,2018-08-20,2018-08-22,2018-10-08,SHORT,100% SHV,CALM,-3.362,-2.73,-1.265,121.79,110.4,47,-0.494,1.1527
35,2018-10-04,2018-10-08,2019-03-01,LONG,100% TLT,CALM,3.328,2.689,1.276,114.02,110.3,144,5.326,1.147
36,2019-02-27,2019-03-01,2020-03-10,LONG,100% TLT,CALM,3.105,2.313,1.584,120.43,110.54,375,44.203,1.208
37,2020-03-06,2020-03-10,2021-03-22,SHORT,100% SHV,STRESS,-4.575,-5.615,2.081,166.77,110.87,377,0.742,1.742
38,2021-03-18,2021-03-22,2021-07-21,LONG,100% TLT,CALM,2.77,1.009,3.522,133.92,110.52,121,10.019,1.755
39,2021-07-19,2021-07-21,2021-11-09,SHORT,100% SHV,CALM,-3.435,-2.655,-1.559,151.46,110.48,111,-0.027,1.9308
40,2021-11-05,2021-11-09,2021-12-22,SHORT,100% SHV,CALM,-3.282,-2.393,-1.779,149.3,110.45,43,-0.018,1.9303
41,2021-12-20,2021-12-22,2022-03-03,SHORT,100% SHV,CALM,-3.379,-2.683,-1.392,149.7,110.41,71,-0.091,1.9299
42,2022-03-01,2022-03-03,2022-03-10,SHORT,100% SHV,STRESS,-5.538,-4.813,-1.451,141.3,110.32,7,-0.027,1.9282
43,2022-03-08,2022-03-10,2023-03-17,SHORT,100% SHV,STRESS,-4.059,-3.23,-1.658,137.77,110.3,372,0.082,1.9276
44,2023-03-15,2023-03-17,2023-10-04,SHORT,100% SHV,STRESS,-4.426,-5.987,3.123,106.1,110.31,201,1.049,1.9292
45,2023-10-02,2023-10-04,2024-02-20,LONG,100% TLT,CALM,3.336,2.609,1.453,86.93,110.03,139,7.628,1.9495
46,2024-02-15,2024-02-20,2024-08-06,LONG,100% TLT,CALM,2.882,2.367,1.032,93.3,110.35,168,6.366,2.0982
47,2024-08-02,2024-08-06,2025-02-27,SHORT,100% SHV,STRESS,-4.016,-4.075,0.119,98.28,110.18,205,0.209,2.2317
48,2025-02-25,2025-02-27,2025-05-21,SHORT,100% SHV,CALM,-3.521,-3.39,-0.261,91.42,110.39,83,-1.857,2.2364
49,2025-05-19,2025-05-21,2025-10-20,LONG,100% TLT,CALM,2.756,2.509,0.494,86.05,110.28,152,8.566,2.1949
50,2025-10-16,2025-10-20,2026-01-22,SHORT,100% SHV,STRESS,-5.008,-3.913,-2.19,91.34,110.31,94,0.358,2.3829
51,2026-01-20,2026-01-22,2026-02-18,LONG,100% TLT,CALM,3.445,3.406,0.078,86.65,110.32,27,2.435,2.3914
52,2026-02-13,2026-02-18,2026-02-19,SHORT,100% SHV,STRESS,-4.24,-3.833,-0.815,89.72,110.27,1,0.018,2.4496
