DATE,mode
2009-11-24,FLAT
2009-11-25,FLAT
2009-11-27,FLAT
2009-11-30,FLAT
2009-12-01,FLAT
2009-12-02,FLAT
2009-12-03,FLAT
2009-12-04,FLAT
2009-12-07,FLAT
2009-12-08,FLAT
2009-12-09,FLAT
2009-12-10,FLAT
2009-12-11,FLAT
2009-12-14,FLAT
2009-12-15,FLAT
2009-12-16,FLAT
2009-12-17,FLAT
2009-12-18,FLAT
2009-12-21,FLAT
2009-12-22,FLAT
2009-12-23,FLAT
2009-12-24,FLAT
2009-12-28,FLAT
2009-12-29,FLAT
2009-12-30,FLAT
2009-12-31,FLAT
2010-01-04,FLAT
2010-01-05,FLAT
2010-01-06,FLAT
2010-01-07,FLAT
2010-01-08,FLAT
2010-01-11,FLAT
2010-01-12,FLAT
2010-01-13,FLAT
2010-01-14,FLAT
2010-01-15,FLAT
2010-01-19,FLAT
2010-01-20,FLAT
2010-01-21,FLAT
2010-01-22,FLAT
2010-01-25,FLAT
2010-01-26,FLAT
2010-01-27,FLAT
2010-01-28,FLAT
2010-01-29,FLAT
2010-02-01,FLAT
2010-02-02,FLAT
2010-02-03,FLAT
2010-02-04,FLAT
2010-02-05,FLAT
2010-02-08,FLAT
2010-02-09,FLAT
2010-02-10,FLAT
2010-02-11,FLAT
2010-02-12,FLAT
2010-02-16,FLAT
2010-02-17,FLAT
2010-02-18,FLAT
2010-02-19,FLAT
2010-02-22,FLAT
2010-02-23,FLAT
2010-02-24,FLAT
2010-02-25,FLAT
2010-02-26,FLAT
2010-03-01,FLAT
2010-03-02,FLAT
2010-03-03,FLAT
2010-03-04,FLAT
2010-03-05,FLAT
2010-03-08,FLAT
2010-03-09,FLAT
2010-03-10,FLAT
2010-03-11,FLAT
2010-03-12,FLAT
2010-03-15,FLAT
2010-03-16,FLAT
2010-03-17,FLAT
2010-03-18,FLAT
2010-03-19,FLAT
2010-03-22,FLAT
2010-03-23,FLAT
2010-03-24,FLAT
2010-03-25,FLAT
2010-03-26,FLAT
2010-03-29,FLAT
2010-03-30,FLAT
2010-03-31,FLAT
2010-04-01,FLAT
2010-04-05,FLAT
2010-04-06,FLAT
2010-04-07,FLAT
2010-04-08,FLAT
2010-04-09,FLAT
2010-04-12,FLAT
2010-04-13,FLAT
2010-04-14,FLAT
2010-04-15,FLAT
2010-04-16,FLAT
2010-04-19,FLAT
2010-04-20,FLAT
2010-04-21,FLAT
2010-04-22,FLAT
2010-04-23,FLAT
2010-04-26,FLAT
2010-04-27,FLAT
2010-04-28,FLAT
2010-04-29,FLAT
2010-04-30,FLAT
2010-05-03,FLAT
2010-05-04,FLAT
2010-05-05,FLAT
2010-05-06,FLAT
2010-05-07,FLAT
2010-05-10,FLAT
2010-05-11,FLAT
2010-05-12,FLAT
2010-05-13,FLAT
2010-05-14,FLAT
2010-05-17,FLAT
2010-05-18,FLAT
2010-05-19,FLAT
2010-05-20,FLAT
2010-05-21,FLAT
2010-05-24,FLAT
2010-05-25,FLAT
2010-05-26,FLAT
2010-05-27,FLAT
2010-05-28,FLAT
2010-06-01,FLAT
2010-06-02,FLAT
2010-06-03,FLAT
2010-06-04,FLAT
2010-06-07,FLAT
2010-06-08,FLAT
2010-06-09,FLAT
2010-06-10,FLAT
2010-06-11,FLAT
2010-06-14,FLAT
2010-06-15,FLAT
2010-06-16,FLAT
2010-06-17,FLAT
2010-06-18,FLAT
2010-06-21,FLAT
2010-06-22,FLAT
2010-06-23,FLAT
2010-06-24,FLAT
2010-06-25,FLAT
2010-06-28,FLAT
2010-06-29,FLAT
2010-06-30,FLAT
2010-07-01,FLAT
2010-07-02,FLAT
2010-07-06,FLAT
2010-07-07,FLAT
2010-07-08,FLAT
2010-07-09,FLAT
2010-07-12,FLAT
2010-07-13,FLAT
2010-07-14,FLAT
2010-07-15,FLAT
2010-07-16,FLAT
2010-07-19,FLAT
2010-07-20,FLAT
2010-07-21,FLAT
2010-07-22,FLAT
2010-07-23,FLAT
2010-07-26,FLAT
2010-07-27,FLAT
2010-07-28,MOM_TF
2010-07-29,MOM_TF
2010-07-30,MOM_TF
2010-08-02,MOM_TF
2010-08-03,MOM_TF
2010-08-04,MOM_TF
2010-08-05,MOM_TF
2010-08-06,MOM_TF
2010-08-09,MOM_TF
2010-08-10,MOM_TF
2010-08-11,MOM_TF
2010-08-12,MOM_TF
2010-08-13,MOM_TF
2010-08-16,MOM_TF
2010-08-17,MOM_TF
2010-08-18,MOM_TF
2010-08-19,MOM_TF
2010-08-20,MOM_TF
2010-08-23,MOM_TF
2010-08-24,MOM_TF
2010-08-25,MOM_TF
2010-08-26,FLAT
2010-08-27,FLAT
2010-08-30,FLAT
2010-08-31,FLAT
2010-09-01,FLAT
2010-09-02,FLAT
2010-09-03,FLAT
2010-09-07,FLAT
2010-09-08,FLAT
2010-09-09,FLAT
2010-09-10,FLAT
2010-09-13,FLAT
