date,active_mode,yc_regime,sharpe_MR_level,sharpe_TF_level,sharpe_MOM_TF,sharpe_MOM_MR,sharpe_BLEND_TF,sharpe_BLEND_MR,n_active,exposure,active_strategies
2009-11-24,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-11-25,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-11-27,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-11-30,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-12-01,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-12-02,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-12-03,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-12-04,FLAT,BULL_FLAT,,,,,,,0,0.0,
2009-12-07,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-12-08,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-12-09,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-12-10,FLAT,BULL_STEEP,,,,,,,0,0.0,
2009-12-11,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-14,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-15,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-16,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-17,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-18,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-21,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-22,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-23,FLAT,BEAR_STEEP,,,,,,,0,0.0,
2009-12-24,FLAT,BEAR_STEEP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
2009-12-28,FLAT,BEAR_STEEP,-19.528044867142707,-13.158592668211886,-24.858286506439647,-12.308021134507813,-14.904868296674257,-16.721892129468007,0,0.0,
2009-12-29,FLAT,BEAR_STEEP,-6.189433048082357,-13.238603836728668,-16.2861882025574,-3.3728834963736443,-14.436350236505248,-4.9690706874187,0,0.0,
2009-12-30,FLAT,BEAR_STEEP,-3.54097391101565,-13.664065637883851,-16.08109912764228,-1.6163039272143918,-14.693532661867266,-2.7021300429756634,0,0.0,
2009-12-31,FLAT,BEAR_STEEP,-1.4669080106624166,-14.273853540020717,-16.71739734641658,0.04107780130493747,-15.33754576058194,-0.7819483720431838,0,0.0,
2010-01-04,FLAT,BEAR_STEEP,-3.293555176359075,-3.8391549471662665,-1.906966700400008,-1.2689870804294783,-2.7649869093217694,-2.563264814172916,0,0.0,
2010-01-05,FLAT,BEAR_STEEP,-2.310965713515756,-4.97305591282294,-3.5221641031958444,-1.1143412640487045,-4.127662019092132,-1.9244619380596397,0,0.0,
2010-01-06,FLAT,BEAR_STEEP,-2.198995228013431,-5.430416686847701,-3.829420943942447,-1.6276138399462148,-4.561330777944496,-2.026430309060711,0,0.0,
2010-01-07,FLAT,BEAR_STEEP,-3.3119964433666738,-4.9934022513776855,-3.8396519369083695,-2.973572743055006,-4.395659079215252,-3.248477180631998,0,0.0,
2010-01-08,FLAT,BEAR_STEEP,-3.7000238146823006,-4.343796344943181,-2.9732528408724272,-3.268136682197159,-3.6512323584127078,-3.5977832638418397,0,0.0,
2010-01-11,FLAT,BEAR_STEEP,-3.084514306425119,-5.0164686467240855,-3.655931939352257,-3.0948434318020723,-4.343224579243236,-3.1362338650029744,0,0.0,
2010-01-12,FLAT,BEAR_STEEP,-3.3600255658277667,-5.543259941796708,-4.315787068171744,-3.8633340934629157,-4.9638363395747875,-3.6309881947371707,0,0.0,
2010-01-13,FLAT,BEAR_STEEP,-2.4116378998529946,-5.903630099798301,-4.1708684185420575,-3.190595200628565,-5.123589491840619,-2.7105526625196874,0,0.0,
2010-01-14,FLAT,BEAR_STEEP,-2.5206278486371905,-6.064935658118142,-4.5574738456671255,-3.167365085979225,-5.37775598420645,-2.7932688022281136,0,0.0,
2010-01-15,FLAT,BEAR_STEEP,-2.6457652446278273,-5.697771586296274,-4.233147219978705,-2.944070792730173,-4.994825159923738,-2.7999675743771895,0,0.0,
2010-01-19,FLAT,BEAR_FLAT,-1.7947014511757378,-6.317064435848339,-4.764311156585848,-2.6941564363645925,-5.6032715369742245,-2.131428887026297,0,0.0,
2010-01-20,FLAT,BULL_FLAT,-2.556317889784347,-5.551425404204714,-4.494683026385307,-3.2055033210397377,-5.059523630980489,-2.8327893879419634,0,0.0,
2010-01-21,FLAT,BULL_FLAT,-2.0535157953123915,-5.650395216304933,-4.2335731647722445,-2.6141531883854356,-4.994975887480018,-2.2624967419798527,0,0.0,
2010-01-22,FLAT,BULL_FLAT,-1.8245726604531651,-6.027991998372981,-4.450588058158943,-2.824099404322669,-5.335549097794842,-2.1762892137463377,0,0.0,
2010-01-25,FLAT,BULL_FLAT,-1.9286031294986385,-6.3482275521031095,-4.913367027715561,-3.121320552539839,-5.729495740025084,-2.366322287010885,0,0.0,
2010-01-26,FLAT,BULL_STEEP,-2.013226812599575,-6.1706095367240925,-4.549527628046881,-3.2187771444710433,-5.473761092300468,-2.4470811235793755,0,0.0,
2010-01-27,FLAT,BULL_STEEP,-1.2475797040504337,-6.69501662184549,-5.00937114889613,-2.931107019081168,-5.994087111683064,-1.806705261125789,0,0.0,
2010-01-28,FLAT,BULL_STEEP,-1.1256680616635306,-6.928917141431036,-5.153864436144018,-2.8641241470267027,-6.410181331728183,-1.4760459184372645,0,0.0,
2010-01-29,FLAT,BULL_STEEP,-1.8538177320248224,-5.727130094601646,-4.061638852068666,-3.686885300362062,-4.7771848889450945,-2.3209791780148983,0,0.0,
2010-02-01,FLAT,BULL_STEEP,-1.9871965091118542,-5.86857573724646,-4.01880814461625,-3.806428776846988,-4.690518395131064,-2.4640589504973507,0,0.0,
2010-02-02,FLAT,BULL_STEEP,-2.017618192768427,-5.10183145276513,-3.499058535956951,-4.125406204601447,-4.284872655596202,-2.5193794515924086,0,0.0,
2010-02-03,FLAT,BULL_STEEP,-1.1187348491976015,-5.662746075286836,-4.16064002621942,-2.3964955340744,-4.920718481250352,-1.3333618456095302,0,0.0,
2010-02-04,FLAT,BULL_FLAT,-2.0589751712131044,-3.8569176687613265,-3.1636146622866894,-3.1995962168467655,-3.451426050950533,-2.3131499095755887,0,0.0,
2010-02-05,FLAT,BULL_STEEP,-2.3366709684926374,-4.058688523432706,-3.0176064811202328,-3.600534753752427,-3.1018563474174363,-2.673918651077742,0,0.0,
2010-02-08,FLAT,BULL_FLAT,-3.0852899469376145,-3.7175184051862913,-3.335466130268507,-3.5903791496098774,-3.0925153033245913,-3.348181535600526,0,0.0,
2010-02-09,FLAT,BULL_FLAT,-2.330748928370836,-3.9782697411466135,-3.235089821156261,-3.4611170281387307,-3.238298497750826,-2.615182484346756,0,0.0,
2010-02-10,FLAT,BULL_STEEP,-2.6419886017850085,-3.0705969915900098,-2.541411877589335,-3.9399067193247097,-2.5577311972339127,-2.9668037642980543,0,0.0,
2010-02-11,FLAT,BULL_STEEP,-2.363830075062163,-3.40769793455289,-3.08360430004783,-3.149961554035347,-3.083124455992545,-2.5905115047934983,0,0.0,
2010-02-12,FLAT,BULL_STEEP,-2.9762729526465574,-2.7925738962954645,-2.9698466659662395,-3.4613903599898,-2.707051415401187,-3.1808616720895624,0,0.0,
2010-02-16,FLAT,BULL_STEEP,-3.287785798249024,-2.592017588799849,-2.909138893423639,-3.639753513227755,-2.5330984663258542,-3.4880102355355165,0,0.0,
2010-02-17,FLAT,BULL_STEEP,-3.2235004649055243,-2.849981187856257,-3.2364334012364737,-3.365539865233582,-2.8031765981898573,-3.400671131255076,0,0.0,
2010-02-18,FLAT,BEAR_STEEP,-3.3130677810165534,-2.7068006470171047,-3.3035288289713303,-3.2279640820218005,-2.88951042845026,-3.4354503722687806,0,0.0,
2010-02-19,FLAT,BEAR_STEEP,-3.182335606618064,-2.590236744799182,-2.976324898723243,-3.349700798495455,-2.7386684465920235,-3.3089753738666845,0,0.0,
2010-02-22,FLAT,BEAR_STEEP,-2.5002649937788015,-2.915233696845877,-2.838908656375865,-3.2670488347060735,-2.841546016851537,-2.659734337664074,0,0.0,
