year,sharpe,ann_ret,vol,mdd,hit_rate,n_days,is_sharpe,dominant_mode,best_lookback,best_min_sharpe,best_threshold,best_regime_filter
2012,-2.053190214293109,-0.00485281640722679,0.012074694761837356,-0.016233609251226324,0.132,250,-0.5115559581979844,FLAT,126,-0.5,0.5,False
2013,1.334382982326809,0.08525016549456432,0.04716391979018914,-0.017629643907234014,0.5079365079365079,252,-0.6986367217176889,MOM_MR,126,-0.5,0.5,False
2014,-0.6372289040223179,0.0046043460629652255,0.023734560305006664,-0.018258462702102456,0.31746031746031744,252,-0.3518481921474198,TF_level,126,-0.5,0.5,False
2015,-1.0725183361490598,-0.02514218465074003,0.04158201181742898,-0.032815692037672824,0.4126984126984127,252,-0.6354791390015989,MOM_TF,126,-0.5,0.5,False
2016,-2.8860665699134818,-0.06800090350834664,0.03115923463546846,-0.07499348762658238,0.2857142857142857,252,-0.7991162515823778,MOM_MR,126,-0.5,0.7,False
2017,-0.6051306529520255,0.007760841000268304,0.01994630652864,-0.011552805877085274,0.18725099601593626,251,-0.6218363689307688,FLAT,126,-0.5,0.7,False
2018,-0.8930876357079763,-0.006673056343819095,0.029406458448940017,-0.027568081264210613,0.42231075697211157,251,-0.7115303862672975,BLEND_TF,126,-0.5,0.7,False
2019,-1.633534458411743,-0.012092045348854108,0.01957347077519612,-0.022078171174649004,0.1984126984126984,252,-0.7670271905748158,FLAT,126,-0.5,0.7,False
2020,-0.987413869114242,-0.01461569597686918,0.03456094470976852,-0.03933339136566116,0.3241106719367589,253,-0.8658169655259118,BLEND_MR,126,-0.5,0.7,False
2021,-1.3630584317966217,-0.03778293893256135,0.04227134567182652,-0.06462524291474936,0.4365079365079365,252,-0.9283037662068411,MOM_TF,126,-0.5,0.7,False
2022,0.7466618287873679,0.06423814064378597,0.058933464085550454,-0.04051748551494719,0.4940239043824701,251,-1.035995876657561,MOM_MR,126,-0.5,0.7,False
2023,1.9283282637658528,0.14292477875891474,0.059852364050659065,-0.02892164438944512,0.536,250,-0.7535060833101093,MOM_MR,126,-0.5,0.7,False
2024,-0.20579489404875403,0.013239545410127729,0.030947428579515598,-0.022089126888625344,0.2698412698412698,252,-0.5840637320816215,BLEND_MR,126,-0.5,0.7,False
2025,-1.4996691662247934,-0.04406127395846293,0.042769772567943086,-0.05117616585636753,0.336,250,-0.6017765211756642,TF_level,126,-0.5,0.7,False
