param,base,perturbed,sharpe,delta,n_dead,win_rate
tl_c,-3.375,-3.875,0.33411015277116335,-0.08558358986281334,3,0.7222222222222222
tl_c,-3.375,-3.625,0.3426370699674311,-0.07705667266654559,3,0.7222222222222222
tl_c,-3.375,-3.375,0.4196937426339767,0.0,3,0.7777777777777778
tl_c,-3.375,-3.125,0.3713415719735368,-0.0483521706604399,3,0.7777777777777778
tl_c,-3.375,-2.875,0.41056842912181923,-0.009125313512157451,3,0.7777777777777778
ts_c,3.0,2.5,0.3590367934336991,-0.06065694920027759,6,0.7222222222222222
ts_c,3.0,2.75,0.41278117450601376,-0.006912568127962926,5,0.7777777777777778
ts_c,3.0,3.0,0.4196937426339767,0.0,3,0.7777777777777778
ts_c,3.0,3.25,0.36658984153166563,-0.05310390110231106,5,0.7777777777777778
ts_c,3.0,3.5,0.29200248706585796,-0.12769125556811872,5,0.7222222222222222
tl_s,-2.875,-3.375,0.342084279391259,-0.07760946324271767,3,0.7777777777777778
tl_s,-2.875,-3.125,0.342084279391259,-0.07760946324271767,3,0.7777777777777778
tl_s,-2.875,-2.875,0.4196937426339767,0.0,3,0.7777777777777778
tl_s,-2.875,-2.625,0.3033990030530221,-0.1162947395809546,3,0.7222222222222222
tl_s,-2.875,-2.375,0.2534935714419318,-0.1662001711920449,3,0.7222222222222222
adapt_days,63.0,42.0,0.4196937426339767,0.0,3,0.7777777777777778
adapt_days,63.0,53.0,0.4196937426339767,0.0,3,0.7777777777777778
adapt_days,63.0,63.0,0.4196937426339767,0.0,3,0.7777777777777778
adapt_days,63.0,73.0,0.4196937426339767,0.0,3,0.7777777777777778
adapt_days,63.0,84.0,0.4196937426339767,0.0,3,0.7777777777777778
adapt_raise,1.0,0.5,0.39699610325384255,-0.022697639380134138,4,0.7222222222222222
adapt_raise,1.0,0.75,0.4196937426339767,0.0,3,0.7777777777777778
adapt_raise,1.0,1.0,0.4196937426339767,0.0,3,0.7777777777777778
adapt_raise,1.0,1.25,0.4196937426339767,0.0,3,0.7777777777777778
adapt_raise,1.0,1.5,0.4196937426339767,0.0,3,0.7777777777777778
max_hold_days,252.0,189.0,0.3124702763319743,-0.10722346630200241,2,0.6666666666666666
max_hold_days,252.0,231.0,0.3848704074239941,-0.0348233352099826,3,0.7222222222222222
max_hold_days,252.0,252.0,0.4196937426339767,0.0,3,0.7777777777777778
max_hold_days,252.0,273.0,0.36996410434323473,-0.04972963829074195,4,0.6666666666666666
max_hold_days,252.0,315.0,0.2973436150285347,-0.122350127605442,5,0.6111111111111112
k_slope,0.75,0.5,0.10292264278092618,-0.3167710998530505,4,0.6111111111111112
k_slope,0.75,0.65,0.3465152759102694,-0.07317846672370726,4,0.7222222222222222
k_slope,0.75,0.75,0.4196937426339767,0.0,3,0.7777777777777778
k_slope,0.75,0.85,0.3251825883301389,-0.09451115430383777,3,0.7222222222222222
k_slope,0.75,1.0,0.2471063973640832,-0.17258734526989347,3,0.7222222222222222
k_yc,0.2,0.1,0.3824873888976776,-0.0372063537362991,3,0.7222222222222222
k_yc,0.2,0.15000000000000002,0.38175484920857505,-0.03793889342540163,3,0.7222222222222222
k_yc,0.2,0.2,0.4196937426339767,0.0,3,0.7777777777777778
k_yc,0.2,0.25,0.3603707074989533,-0.059323035135023405,4,0.7222222222222222
k_yc,0.2,0.30000000000000004,0.2804773923643796,-0.1392163502695971,5,0.7777777777777778
