pair,z_window,k_spread,sharpe,delta_sharpe,n_dead,win_rate,n_events
1W-1M,42,0.1,0.30077310641839416,-0.11892063621558252,4,0.7777777777777778,59
1W-1M,42,-0.1,0.318526731555701,-0.10116701107827569,4,0.7777777777777778,54
1W-1M,42,0.2,0.30909254231796346,-0.11060120031601323,4,0.7777777777777778,59
1W-1M,42,-0.2,0.17073283965642114,-0.24896090297755555,3,0.6666666666666666,58
1W-1M,42,0.3,0.42586202937488365,0.00616828674090697,4,0.7777777777777778,72
1W-1M,42,-0.3,0.0504337594330948,-0.3692599832008819,3,0.6666666666666666,59
1W-1M,42,0.5,0.1886973284315425,-0.2309964142024342,4,0.6666666666666666,92
1W-1M,42,-0.5,0.0008734865866967548,-0.4188202560472799,2,0.5555555555555556,63
1W-1M,42,0.75,-0.002036638278793763,-0.42173038091277043,1,0.5555555555555556,127
1W-1M,42,-0.75,-0.04502049135920998,-0.4647142339931867,2,0.5555555555555556,88
1W-1M,42,1.0,-0.0756379259089858,-0.4953316685429625,0,0.5,167
1W-1M,42,-1.0,-0.1328934476772872,-0.5525871903112639,2,0.5555555555555556,126
1W-1M,63,0.1,0.30077310641839416,-0.11892063621558252,4,0.7777777777777778,59
1W-1M,63,-0.1,0.31829556968892114,-0.10139817294505554,4,0.7777777777777778,54
1W-1M,63,0.2,0.3130409622172405,-0.1066527804167362,4,0.7777777777777778,60
1W-1M,63,-0.2,0.19238212820437775,-0.22731161442959893,3,0.6666666666666666,56
1W-1M,63,0.3,0.3547260939241111,-0.0649676487098656,5,0.7222222222222222,69
1W-1M,63,-0.3,0.06807075477672858,-0.3516229878572481,3,0.6111111111111112,60
1W-1M,63,0.5,0.16756311262410195,-0.25213063000987473,5,0.6666666666666666,91
1W-1M,63,-0.5,0.026929913556666244,-0.39276382907731044,2,0.6111111111111112,64
1W-1M,63,0.75,-0.06880694925464342,-0.4885006918886201,1,0.5555555555555556,116
1W-1M,63,-0.75,0.0235361264005892,-0.39615761623338747,1,0.6111111111111112,90
1W-1M,63,1.0,-0.049612423985580544,-0.4693061666195572,0,0.5,170
1W-1M,63,-1.0,-0.12572060364185517,-0.5454143462758319,3,0.5,124
1W-1M,126,0.1,0.30077310641839416,-0.11892063621558252,4,0.7777777777777778,59
1W-1M,126,-0.1,0.3242323848886102,-0.09546135774536646,4,0.7777777777777778,54
1W-1M,126,0.2,0.30685423470873846,-0.11283950792523822,4,0.7777777777777778,61
1W-1M,126,-0.2,0.1879590458037472,-0.2317346968302295,3,0.6666666666666666,59
1W-1M,126,0.3,0.4402725028094596,0.020578760175482935,4,0.7777777777777778,68
1W-1M,126,-0.3,0.09260482056158215,-0.32708892207239454,3,0.6111111111111112,57
1W-1M,126,0.5,0.25866591001727474,-0.16102783261670195,5,0.6666666666666666,84
1W-1M,126,-0.5,0.0885064094539993,-0.3311873331799774,3,0.7222222222222222,64
1W-1M,126,0.75,-0.10680969399256976,-0.5265034366265464,4,0.5,115
1W-1M,126,-0.75,0.029755235192709815,-0.38993850744126685,1,0.6111111111111112,88
1W-1M,126,1.0,0.005938303086372446,-0.41375543954760424,0,0.5555555555555556,165
1W-1M,126,-1.0,-0.04395428751279077,-0.4636480301467675,3,0.5555555555555556,115
1W-1M,252,0.1,0.3001155328901854,-0.1195782097437913,4,0.7777777777777778,59
1W-1M,252,-0.1,0.3242323848886102,-0.09546135774536646,4,0.7777777777777778,54
1W-1M,252,0.2,0.3588488409519609,-0.060844901682015784,4,0.7777777777777778,62
1W-1M,252,-0.2,0.18012832171607715,-0.23956542091789954,3,0.6666666666666666,58
1W-1M,252,0.3,0.42631679952863016,0.0066230568946534785,3,0.7222222222222222,69
1W-1M,252,-0.3,0.09388745074420257,-0.3258062918897741,3,0.6666666666666666,58
1W-1M,252,0.5,0.3142132916416871,-0.10548045099228959,5,0.6666666666666666,81
1W-1M,252,-0.5,0.09035681387638898,-0.3293369287575877,3,0.6111111111111112,66
1W-1M,252,0.75,0.004024719868528647,-0.41566902276544804,4,0.5555555555555556,115
1W-1M,252,-0.75,0.03063762301547519,-0.3890561196185015,3,0.6111111111111112,92
1W-1M,252,1.0,0.074091329177432,-0.3456024134565447,2,0.6111111111111112,159
1W-1M,252,-1.0,-0.0035023997758384337,-0.4231961424098151,4,0.5,120
