pair,z_window,filter_thresh,sharpe,delta,n_dead,win_rate
1W-1M,42,-1.5,0.4215725901674879,0.0018788475335111965,3,0.7777777777777778
1W-1M,42,-1.0,0.4215725901674879,0.0018788475335111965,3,0.7777777777777778
1W-1M,42,-0.5,0.40459705266827267,-0.015096689965704013,3,0.7777777777777778
1W-1M,42,0.5,0.39260508136544214,-0.027088661268534542,3,0.7777777777777778
1W-1M,42,1.0,0.3831114332144721,-0.03658230941950458,4,0.7222222222222222
1W-1M,42,1.5,0.38597857803205676,-0.03371516460191992,4,0.7777777777777778
1W-1M,63,-1.5,0.4215725901674879,0.0018788475335111965,3,0.7777777777777778
1W-1M,63,-1.0,0.4215725901674879,0.0018788475335111965,3,0.7777777777777778
1W-1M,63,-0.5,0.40459705266827267,-0.015096689965704013,3,0.7777777777777778
1W-1M,63,0.5,0.39260508136544214,-0.027088661268534542,3,0.7777777777777778
1W-1M,63,1.0,0.3831114332144721,-0.03658230941950458,4,0.7222222222222222
1W-1M,63,1.5,0.38597857803205676,-0.03371516460191992,4,0.7777777777777778
1W-1M,126,-1.5,0.4215725901674879,0.0018788475335111965,3,0.7777777777777778
1W-1M,126,-1.0,0.40507671395029304,-0.014617028683683642,3,0.7777777777777778
1W-1M,126,-0.5,0.40507671395029304,-0.014617028683683642,3,0.7777777777777778
1W-1M,126,0.5,0.39260508136544214,-0.027088661268534542,3,0.7777777777777778
1W-1M,126,1.0,0.3831114332144721,-0.03658230941950458,4,0.7222222222222222
1W-1M,126,1.5,0.3830788940238245,-0.036614848610152184,4,0.7222222222222222
1W-3M,42,-1.5,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1W-3M,42,-1.0,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1W-3M,42,-0.5,0.4036878891431483,-0.016005853490828392,3,0.7777777777777778
1W-3M,42,0.5,0.39735327576749974,-0.02234046686647695,5,0.7222222222222222
1W-3M,42,1.0,0.34132158023482523,-0.07837216239915146,5,0.7777777777777778
1W-3M,42,1.5,0.37954668826721666,-0.04014705436676003,4,0.7777777777777778
1W-3M,63,-1.5,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1W-3M,63,-1.0,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1W-3M,63,-0.5,0.4036878891431483,-0.016005853490828392,3,0.7777777777777778
1W-3M,63,0.5,0.36977848590149065,-0.049915256732486035,5,0.7222222222222222
1W-3M,63,1.0,0.3378893205180363,-0.08180442211594041,5,0.7222222222222222
1W-3M,63,1.5,0.37954668826721666,-0.04014705436676003,4,0.7777777777777778
1W-3M,126,-1.5,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1W-3M,126,-1.0,0.4036878891431483,-0.016005853490828392,3,0.7777777777777778
1W-3M,126,-0.5,0.40507671395029304,-0.014617028683683642,3,0.7777777777777778
1W-3M,126,0.5,0.33481817594807334,-0.08487556668590335,5,0.7222222222222222
1W-3M,126,1.0,0.3378893205180363,-0.08180442211594041,5,0.7222222222222222
1W-3M,126,1.5,0.38597857803205676,-0.03371516460191992,4,0.7777777777777778
1W-6M,42,-1.5,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1W-6M,42,-1.0,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1W-6M,42,-0.5,0.4157253274667541,-0.003968415167222572,3,0.7777777777777778
1W-6M,42,0.5,0.3723264618363561,-0.04736728079762059,5,0.7777777777777778
1W-6M,42,1.0,0.3802227035681369,-0.039471039065839764,4,0.7222222222222222
1W-6M,42,1.5,0.38597857803205676,-0.03371516460191992,4,0.7777777777777778
1W-6M,63,-1.5,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1W-6M,63,-1.0,0.4036878891431483,-0.016005853490828392,3,0.7777777777777778
1W-6M,63,-0.5,0.40802626732491254,-0.011667475309064146,3,0.7777777777777778
1W-6M,63,0.5,0.3744654978121059,-0.04522824482187077,5,0.7777777777777778
1W-6M,63,1.0,0.3801901887095412,-0.0395035539244355,4,0.7222222222222222
1W-6M,63,1.5,0.38597857803205676,-0.03371516460191992,4,0.7777777777777778
1W-6M,126,-1.5,0.40320880887601723,-0.016484933757959452,3,0.7777777777777778
