pair,mom_window,k,sharpe,delta,n_dead,win_rate
1W-1M,21,0.2,0.29717870506330374,-0.12251503757067295,4,0.7777777777777778
1W-1M,21,-0.2,0.24774675622663084,-0.17194698640734585,4,0.7777777777777778
1W-1M,21,0.5,0.09011544832885315,-0.32957829430512353,3,0.6111111111111112
1W-1M,21,-0.5,0.1012358505104223,-0.31845789212355435,4,0.6111111111111112
1W-1M,21,1.0,-0.18002172340016068,-0.5997154660341374,2,0.4444444444444444
1W-1M,21,-1.0,0.07011027679175565,-0.34958346584222105,6,0.5
1W-1M,42,0.2,0.28653662947407654,-0.13315711315990014,3,0.7222222222222222
1W-1M,42,-0.2,0.24708153779161457,-0.17261220484236212,3,0.7222222222222222
1W-1M,42,0.5,0.12233318831007567,-0.297360554323901,3,0.5555555555555556
1W-1M,42,-0.5,0.10391482460551574,-0.3157789180284609,4,0.6666666666666666
1W-1M,42,1.0,-0.055968742976972685,-0.47566248561094937,3,0.5555555555555556
1W-1M,42,-1.0,0.07157053942003856,-0.34812320321393814,3,0.5555555555555556
1W-1M,63,0.2,0.36456309358186734,-0.05513064905210935,4,0.7777777777777778
1W-1M,63,-0.2,0.2696827025497542,-0.1500110400842225,3,0.6666666666666666
1W-1M,63,0.5,0.27622520022865316,-0.14346854240532353,4,0.6666666666666666
1W-1M,63,-0.5,0.1710994889794033,-0.24859425365457338,3,0.7222222222222222
1W-1M,63,1.0,-0.11291401156029464,-0.5326077541942713,1,0.4444444444444444
1W-1M,63,-1.0,0.13082113285270122,-0.2888726097812755,5,0.5555555555555556
1W-3M,21,0.2,0.36591004343304645,-0.053783699200930235,4,0.7777777777777778
1W-3M,21,-0.2,0.151863977321992,-0.26782976531198466,4,0.6666666666666666
1W-3M,21,0.5,0.09521237857188163,-0.32448136406209505,4,0.6666666666666666
1W-3M,21,-0.5,0.11674895725923386,-0.30294478537474284,5,0.5555555555555556
1W-3M,21,1.0,-0.20729241682170402,-0.6269861594556807,2,0.4444444444444444
1W-3M,21,-1.0,-0.0623327063328334,-0.4820264489668101,6,0.3888888888888889
1W-3M,42,0.2,0.41812395568084154,-0.0015697869531351438,4,0.7777777777777778
1W-3M,42,-0.2,0.15991429974439816,-0.25977944288957855,5,0.6666666666666666
1W-3M,42,0.5,0.12910301818226208,-0.29059072445171463,3,0.6111111111111112
1W-3M,42,-0.5,-0.02202053746940056,-0.44171428010337727,4,0.5555555555555556
1W-3M,42,1.0,-0.0770672449534377,-0.4967609875874144,0,0.5
1W-3M,42,-1.0,-0.04845831443586588,-0.4681520570698426,4,0.4444444444444444
1W-3M,63,0.2,0.2980012896860413,-0.1216924529479354,4,0.7777777777777778
1W-3M,63,-0.2,0.14434444057693194,-0.2753493020570448,4,0.6666666666666666
