method,alpha,tl,ts,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
B,0.0,-3.0,0.5,-0.1472160581384595,-0.14421737723879322,-0.013263222790372842,0.15006096797008164,-0.5163457996220387,-0.02568670607968811,-0.20378348841604177,3
B,0.0,-3.0,1.0,-0.14328105314750408,-0.14107387194353244,-0.012360115760702284,0.14895432757946242,-0.5163457996220392,-0.023937670781382914,-0.1912539745008197,3
B,0.0,-3.0,1.5,-0.12646138139349086,-0.12712060848518195,-0.006985990246355267,0.13814738233731644,-0.5163457996220389,-0.013529673818338327,-0.11277045481198189,3
B,0.0,-3.0,2.0,-0.38711495169628257,-0.3846437633375817,-0.022068941959079824,0.09711902584386152,-0.46375121477162223,-0.04758789035182979,-0.316739593516821,2
B,0.0,-3.0,2.5,-0.3196957016785599,-0.31969779800836656,-0.008758045351742294,0.08004574416500665,-0.2772658856883893,-0.03158717247164405,-0.13940907564733118,2
B,0.0,-3.0,3.0,-0.33383878109810067,-0.3182957623017586,0.0029750753909063565,0.04761442969105114,-0.13152980087235688,0.02261902147782858,0.052008924851811855,1
B,0.0,-2.5,0.5,-0.158760507313123,-0.15542577252022488,-0.01482968764869419,0.14959502505290467,-0.5163457996220386,-0.02872045760718769,-0.22508396962167487,5
B,0.0,-2.5,1.0,-0.15490277998382432,-0.15241680632671015,-0.013928014319943838,0.14848494528416017,-0.5163457996220395,-0.026974198938267763,-0.21288964679051936,5
B,0.0,-2.5,1.5,-0.16189507853589155,-0.16351564668806537,-0.008295180039760264,0.12596576305811408,-0.463751214771623,-0.017887133824210623,-0.13252460431525537,5
B,0.0,-2.5,2.0,-0.38711495169628257,-0.3846437633375817,-0.022068941959079824,0.09711902584386152,-0.46375121477162223,-0.04758789035182979,-0.316739593516821,2
B,0.0,-2.5,2.5,-0.3196957016785599,-0.31969779800836656,-0.008758045351742294,0.08004574416500665,-0.2772658856883893,-0.03158717247164405,-0.13940907564733118,2
B,0.0,-2.5,3.0,-0.33383878109810067,-0.3182957623017586,0.0029750753909063565,0.04761442969105114,-0.13152980087235688,0.02261902147782858,0.052008924851811855,1
B,0.0,-2.0,0.5,-0.14347340507463568,-0.14127757995522885,-0.01146069372303804,0.1457224198781473,-0.5216157535736644,-0.021971525293320193,-0.17859127698410915,11
B,0.0,-2.0,1.0,-0.1228966635668755,-0.12231573186756715,-0.007477483540620833,0.14189365924642872,-0.5272248593467455,-0.014182721865364544,-0.12023564870581283,11
B,0.0,-2.0,1.5,-0.06684201015760216,-0.07046861225806134,0.0055328337792466264,0.11599856681850326,-0.46375121477162246,0.011930607625408183,0.0987477738033824,8
B,0.0,-2.0,2.0,-0.5274225683840795,-0.5587128842530902,-0.028213937244816023,0.08528030941300313,-0.46375121477162284,-0.06083851933134051,-0.3864318068364647,2
B,0.0,-2.0,2.5,-0.5058601778771782,-0.5359133491147848,-0.014986681908740085,0.06518167379303605,-0.27660918363526266,-0.054179986766099385,-0.22718891143444941,2
B,0.0,-2.0,3.0,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.0,-1.5,0.5,-0.15272402740179405,-0.15141106304878335,-0.010324418300623694,0.13723554533455018,-0.45398484425029134,-0.022741768654575674,-0.16232706803855312,35
B,0.0,-1.5,1.0,-0.1008014875774123,-0.10132884848497258,-0.0020061837285273443,0.13195774906474506,-0.45473570133321156,-0.004411757692755458,-0.0336941244271276,31
B,0.0,-1.5,1.5,-0.01104483899586373,-0.01183206830531445,0.013700941492514662,0.10257313981998326,-0.3512492867126009,0.03900631833517442,0.2614386336634644,16
B,0.0,-1.5,2.0,-0.42105989062636784,-0.4390539228392472,-0.009081391122069626,0.06425766258562644,-0.3138904875251792,-0.02893171817238058,-0.14418783788638434,5
B,0.0,-1.5,2.5,-0.5176888381602405,-0.5398019031841026,-0.009992255445630538,0.055096959593914675,-0.27660918363526266,-0.036124091450290906,-0.15751565106033516,3
B,0.0,-1.5,3.0,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.0,-1.0,0.5,-0.02992789675413058,-0.03022700881969602,0.009936874423907449,0.11539652249153097,-0.28919545678464254,0.0343604098570166,0.18383612345731715,109
B,0.0,-1.0,1.0,-0.07989281034297989,-0.08218997001982849,0.005862885324898981,0.106372244426111,-0.29017292530401667,0.020204797945074942,0.1049193773164303,81
B,0.0,-1.0,1.5,-0.12242625811901038,-0.13100264851183335,0.009968368438657782,0.0650641555588726,-0.14959158932519265,0.0666372252853591,0.18446635929021205,31
B,0.0,-1.0,2.0,-0.6317705388700687,-0.6439106208027124,-0.003287131683022415,0.035850987676285355,-0.1621708710314863,-0.020269556808288965,-0.05464560543146235,5
B,0.0,-1.0,2.5,-1.1902990177044899,-1.135317055058583,-0.005088751420292081,0.020904688150864697,-0.1299558321963332,-0.039157545562127256,-0.08339055243205895,3
B,0.0,-1.0,3.0,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.2,-3.0,0.5,-0.15738203641549206,-0.15310932042844874,-0.015442238312944001,0.15228067521694516,-0.5163457996220402,-0.02990677628102632,-0.23326647388357802,1
B,0.2,-3.0,1.0,-0.15738203641549206,-0.15310932042844874,-0.015442238312944001,0.15228067521694516,-0.5163457996220402,-0.02990677628102632,-0.23326647388357802,1
B,0.2,-3.0,1.5,-0.24289271830255144,-0.236439336117848,-0.016719730194434623,0.12141691874860665,-0.5163457996220391,-0.032380877711551695,-0.25007033705142945,1
B,0.2,-3.0,2.0,-0.27222120491713525,-0.2625431876692001,-0.01006143238613777,0.09428345647908659,-0.3755959792414013,-0.026787912922973896,-0.15851982679884202,1
B,0.2,-3.0,2.5,-0.29181241445614453,-0.2821983245498384,-0.005241043519913058,0.07651334726888372,-0.29775148335739793,-0.017602073584372754,-0.08578228314699687,0
B,0.2,-3.0,3.0,-0.29181241445614453,-0.2821983245498384,-0.005241043519913058,0.07651334726888372,-0.29775148335739793,-0.017602073584372754,-0.08578228314699687,0
B,0.2,-2.5,0.5,-0.1576401786174002,-0.15377212191407688,-0.015279611012407046,0.15162077276994318,-0.5163457996220387,-0.029591818164477385,-0.23110205152846774,3
B,0.2,-2.5,1.0,-0.14755921803005442,-0.14491519234745298,-0.013178006061770997,0.14959796524401436,-0.5163457996220391,-0.025521667981839285,-0.20260906427963332,3
B,0.2,-2.5,1.5,-0.2541961148924736,-0.25391112905925395,-0.017141144171294087,0.11889648600990287,-0.5163457996220377,-0.033197024520856586,-0.2555370512926556,2
B,0.2,-2.5,2.0,-0.28400566822666873,-0.2855163607739854,-0.005716435992756175,0.07947857650961919,-0.23846781891749042,-0.023971519589962176,-0.09321053114211209,2
B,0.2,-2.5,2.5,-0.33383878109810067,-0.3182957623017586,0.0029750753909063565,0.04761442969105114,-0.13152980087235688,0.02261902147782858,0.052008924851811855,1
B,0.2,-2.5,3.0,-0.33383878109810067,-0.3182957623017586,0.0029750753909063565,0.04761442969105114,-0.13152980087235688,0.02261902147782858,0.052008924851811855,1
B,0.2,-2.0,0.5,-0.08985862814041704,-0.08811536913074025,-0.00432442818856249,0.1483467721534776,-0.4148779146492226,-0.010423375252979603,-0.07129771022352027,7
B,0.2,-2.0,1.0,-0.16827347895152234,-0.1645303593174669,-0.012971352844858619,0.1390022969494292,-0.4365518590834133,-0.029713200333388437,-0.1997542731248395,7
B,0.2,-2.0,1.5,-0.2799436964532952,-0.27574152042767225,-0.01232273278511442,0.09842109901404268,-0.3896885627698356,-0.031622002702688196,-0.19073135167348632,6
B,0.2,-2.0,2.0,-0.28400566822666873,-0.2855163607739854,-0.005716435992756175,0.07947857650961919,-0.23846781891749042,-0.023971519589962176,-0.09321053114211209,2
B,0.2,-2.0,2.5,-0.33383878109810067,-0.3182957623017586,0.0029750753909063565,0.04761442969105114,-0.13152980087235688,0.02261902147782858,0.052008924851811855,1
B,0.2,-2.0,3.0,-0.33383878109810067,-0.3182957623017586,0.0029750753909063565,0.04761442969105114,-0.13152980087235688,0.02261902147782858,0.052008924851811855,1
B,0.2,-1.5,0.5,-0.1123133464491201,-0.11032800695593571,-0.005371232826190342,0.13945742554849325,-0.4230467927450681,-0.012696545437296569,-0.08782223269073308,21
B,0.2,-1.5,1.0,-0.15691215125014507,-0.15615463096569335,-0.00823025831363311,0.12794599828811185,-0.4327311437990154,-0.01901933436400802,-0.131554849100614,17
B,0.2,-1.5,1.5,-0.5556579875145404,-0.5772838657314847,-0.025317551233702495,0.07682574941699256,-0.3957428083372232,-0.06397476012281371,-0.35446145085283953,10
B,0.2,-1.5,2.0,-0.9377973507094208,-0.9892476524215593,-0.0032374574784141963,0.024466071163732627,-0.08423087544877106,-0.03843551976832067,-0.05384115683281476,3
B,0.2,-1.5,2.5,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.2,-1.5,3.0,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.2,-1.0,0.5,-0.13886920536859265,-0.13986645305971715,-0.004258958849131744,0.12157170866032352,-0.4753355824158449,-0.008959899083266642,-0.07025492479215834,83
B,0.2,-1.0,1.0,-0.230557439177311,-0.23411798359536232,-0.009596795644929212,0.10476689719439945,-0.4293529179713113,-0.02235176528035255,-0.15175344557806714,54
B,0.2,-1.0,1.5,-0.7826776070774397,-0.7742406049162451,-0.018565924015514268,0.04802092892253303,-0.29103694055340423,-0.06379232814986072,-0.2737432057843163,15
B,0.2,-1.0,2.0,-0.9377973507094208,-0.9892476524215593,-0.0032374574784141963,0.024466071163732627,-0.08423087544877106,-0.03843551976832067,-0.05384115683281476,3
B,0.2,-1.0,2.5,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.2,-1.0,3.0,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.3,-3.0,0.5,-0.15738203641549206,-0.15310932042844874,-0.015442238312944001,0.15228067521694516,-0.5163457996220402,-0.02990677628102632,-0.23326647388357802,1
B,0.3,-3.0,1.0,-0.15738203641549206,-0.15310932042844874,-0.015442238312944001,0.15228067521694516,-0.5163457996220402,-0.02990677628102632,-0.23326647388357802,1
B,0.3,-3.0,1.5,-0.15738203641549206,-0.15310932042844874,-0.015442238312944001,0.15228067521694516,-0.5163457996220402,-0.02990677628102632,-0.23326647388357802,1
B,0.3,-3.0,2.0,-0.27242049491316583,-0.26237507792032844,-0.009590128580463375,0.09293132687478978,-0.3705027973787456,-0.02588409223442351,-0.15165598317604445,1
B,0.3,-3.0,2.5,-0.29181241445614453,-0.2821983245498384,-0.005241043519913058,0.07651334726888372,-0.29775148335739793,-0.017602073584372754,-0.08578228314699687,0
B,0.3,-3.0,3.0,-0.29181241445614453,-0.2821983245498384,-0.005241043519913058,0.07651334726888372,-0.29775148335739793,-0.017602073584372754,-0.08578228314699687,0
B,0.3,-2.5,0.5,-0.1385559557878062,-0.13510659202473538,-0.0125087913618257,0.15190930521797416,-0.5163457996220387,-0.02422560882838989,-0.19332935151417807,3
B,0.3,-2.5,1.0,-0.1282336348969277,-0.12589268735950732,-0.010401272886537916,0.14989025353685553,-0.5163457996220375,-0.020144006001698075,-0.16343662446631646,3
B,0.3,-2.5,1.5,-0.15626277647558673,-0.15616366283232674,-0.012928059213639598,0.14447544908349794,-0.5163457996220379,-0.02503759926604005,-0.19915497962820305,3
B,0.3,-2.5,2.0,-0.2639200344510823,-0.2639142376971202,-0.003443698974718301,0.07747216613001368,-0.23735372708007035,-0.014508720874463381,-0.057176922479377,2
B,0.3,-2.5,2.5,-0.3024331872927237,-0.2885027264226399,0.004396244370459046,0.04784114459446753,-0.13152980087235688,0.033423941504521715,0.07774217813910056,1
B,0.3,-2.5,3.0,-0.3024331872927237,-0.2885027264226399,0.004396244370459046,0.04784114459446753,-0.13152980087235688,0.033423941504521715,0.07774217813910056,1
B,0.3,-2.0,0.5,-0.0861377590079267,-0.08463833345323835,-0.003801062357714602,0.14846309311519307,-0.41056224544725073,-0.009258187765350588,-0.06293074706453428,5
B,0.3,-2.0,1.0,-0.023056381974291475,-0.022892143281664674,0.006211578698961828,0.14472512500393797,-0.3258393956655842,0.0190633139564772,0.1114750056878091,5
B,0.3,-2.0,1.5,-0.06261219083155704,-0.06288762047594969,0.002113478133229041,0.136638127635851,-0.3431544712527607,0.006158970114867876,0.036690719573666764,5
B,0.3,-2.0,2.0,-0.28284887845996404,-0.2829248624737848,-0.004853774838037395,0.07733193152554896,-0.23735372708007024,-0.020449541272212653,-0.07968871198810346,2
B,0.3,-2.0,2.5,-0.33383878109810067,-0.3182957623017586,0.0029750753909063565,0.04761442969105114,-0.13152980087235688,0.02261902147782858,0.052008924851811855,1
B,0.3,-2.0,3.0,-0.33383878109810067,-0.3182957623017586,0.0029750753909063565,0.04761442969105114,-0.13152980087235688,0.02261902147782858,0.052008924851811855,1
B,0.3,-1.5,0.5,-0.09865393652747098,-0.09778924290849382,-0.004220556919458662,0.1425808645837959,-0.4287302604520799,-0.009844317765226658,-0.06964275204531067,25
B,0.3,-1.5,1.0,-0.15436427049416304,-0.1537950608253351,-0.007421630531565082,0.12621481910230742,-0.3443578908310985,-0.021552084994054227,-0.11939029624740005,17
B,0.3,-1.5,1.5,-0.2770857302947286,-0.2885210963722117,-0.010777667903335564,0.09499920872412779,-0.3750634546121672,-0.02873558532776851,-0.1688507204023375,15
B,0.3,-1.5,2.0,-1.225240357303413,-1.2630715898364275,-0.003211943374305304,0.018805231753719998,-0.08349413507358458,-0.03846908973276473,-0.05342771836839477,3
B,0.3,-1.5,2.5,-1.6993641820059102,-1.5155702937631979,-0.004165782944647867,0.014166417679821956,-0.06402166216952522,-0.06506833473984389,-0.06876893265884032,1
B,0.3,-1.5,3.0,-1.6993641820059102,-1.5155702937631979,-0.004165782944647867,0.014166417679821956,-0.06402166216952522,-0.06506833473984389,-0.06876893265884032,1
B,0.3,-1.0,0.5,-0.08936563936462141,-0.09066390520815958,0.0011833616973322414,0.12425525480519954,-0.46056118033401017,0.0025693908819541386,0.02039013357414121,81
B,0.3,-1.0,1.0,-0.26584571654965494,-0.26934043833930305,-0.01267293609631559,0.10318123626702608,-0.4290395868812728,-0.029537917907380758,-0.1956148398822961,58
B,0.3,-1.0,1.5,-0.268594147947717,-0.2786049365410836,-0.0014496420822034395,0.07058924800309424,-0.24913277276295073,-0.0058187530533478655,-0.024455653205618155,20
B,0.3,-1.0,2.0,-1.358201065105595,-1.4340373905973627,-0.0014350420207400738,0.015692566946901354,-0.0702337029293096,-0.020432384466250446,-0.024212179735763728,3
