date,signal,z,regime
2010-05-05,SHORT,-4.539371285365893,STRESS
2010-12-15,LONG,3.0964298328462894,CALM
2011-06-28,LONG,2.9337593891560174,CALM
2011-07-25,LONG,2.821843396918101,CALM
2012-03-14,LONG,2.87052823614452,CALM
2012-03-21,LONG,3.343805953566164,CALM
2012-08-01,LONG,3.129319738972043,CALM
2012-10-24,LONG,3.118428796859632,CALM
2012-11-02,LONG,2.7761434714664057,CALM
2012-12-19,LONG,2.793959569244004,CALM
2013-05-13,LONG,2.7805608454558937,CALM
2013-05-29,LONG,3.5833596415225837,CALM
2013-06-20,LONG,3.4976139823626173,CALM
2013-06-27,LONG,3.2328061763191545,CALM
2013-07-05,LONG,3.5678627006775496,CALM
2014-10-15,SHORT,-5.389658707252673,STRESS
2014-12-12,SHORT,-3.8552720970847645,CALM
2015-04-30,LONG,3.4845131663164377,CALM
2015-05-07,LONG,3.5919566205989253,CALM
2015-05-14,LONG,3.1411318165606517,CALM
2015-06-03,LONG,4.010602215120343,CALM
2015-06-10,LONG,3.3025974135206804,CALM
2015-12-28,SHORT,-3.5939814285353666,CALM
2016-02-11,SHORT,-4.268402627531392,STRESS
2016-06-13,SHORT,-3.930118396858007,CALM
2016-11-09,LONG,5.67666774240227,CALM
2016-11-16,LONG,3.9325228929625045,CALM
2016-11-23,LONG,3.5022249302781074,CALM
2016-12-01,LONG,3.4682062862654846,CALM
2016-12-12,LONG,2.790856239913469,CALM
2018-01-26,LONG,3.62174206635384,CALM
2018-05-15,LONG,2.755122135824776,CALM
2018-08-10,SHORT,-3.5846566473981136,CALM
2018-08-20,SHORT,-3.362208986187221,CALM
2018-10-04,LONG,3.3275739427150484,CALM
2019-02-27,LONG,3.105297744945806,CALM
2020-03-06,SHORT,-4.574868806540016,STRESS
2021-03-18,LONG,2.769873449051901,CALM
2021-07-19,SHORT,-3.434975975430841,CALM
2021-11-05,SHORT,-3.281873718544665,CALM
2021-12-20,SHORT,-3.378524916378156,CALM
2022-03-01,SHORT,-5.538220750609843,STRESS
2022-03-08,SHORT,-4.05933665316691,STRESS
2023-03-15,SHORT,-4.425880530790322,STRESS
2023-10-02,LONG,3.3357329693522626,CALM
2024-02-15,LONG,2.882463995877442,CALM
2024-08-02,SHORT,-4.0156693922350755,STRESS
2025-02-25,SHORT,-3.520793531211833,CALM
2025-05-19,LONG,2.7561910897908324,CALM
2025-10-16,SHORT,-5.007870271505466,STRESS
2026-01-20,LONG,3.4448395667314426,CALM
2026-02-13,SHORT,-4.2404809134436645,STRESS
