date,signal,z,regime
2009-03-18,SHORT,-3.7223534845962543,STRESS
2010-05-05,SHORT,-3.8844787807355967,STRESS
2010-12-15,LONG,2.8047582569850937,CALM
2011-06-28,LONG,3.193148675870969,CALM
2011-07-18,LONG,2.53091681850527,CALM
2011-07-26,LONG,2.9570929262137686,CALM
2012-03-16,LONG,2.763173397835618,CALM
2012-08-02,LONG,2.5552281725196435,CALM
2012-10-24,LONG,2.668254928063826,CALM
2012-11-05,LONG,6.553744716748917,CALM
2013-05-13,LONG,3.030834602729337,CALM
2013-05-29,LONG,3.4153312613248454,CALM
2013-06-20,LONG,3.3661144592110244,CALM
2013-06-27,LONG,3.112760470438689,CALM
2013-07-05,LONG,3.460656509875177,CALM
2013-11-29,LONG,2.5113689998313733,CALM
2014-10-14,SHORT,-3.586420595807511,STRESS
2014-12-12,SHORT,-3.6050727074276585,CALM
2015-03-24,SHORT,-3.366432500497398,CALM
2015-04-30,LONG,3.449732772221439,CALM
2015-05-07,LONG,2.7160042155870245,CALM
2015-06-03,LONG,3.3075048349532263,CALM
2015-06-10,LONG,2.6344039071855274,CALM
2015-12-18,SHORT,-3.306423352704043,CALM
2015-12-28,SHORT,-3.7941771444947605,CALM
2016-02-11,SHORT,-3.9264711665855714,STRESS
2016-06-13,SHORT,-3.7486657606571847,CALM
2016-11-09,LONG,5.066089333084408,CALM
2016-11-16,LONG,3.591939247581025,CALM
2016-11-23,LONG,3.161641284896628,CALM
2016-12-01,LONG,3.127622640884005,CALM
2017-06-27,LONG,2.5398565086891605,CALM
2018-01-26,LONG,3.223812174965605,CALM
2018-05-16,LONG,2.82742711131534,CALM
2018-08-10,SHORT,-3.283329978280166,CALM
2018-10-04,LONG,2.8531141480487103,CALM
2019-02-27,LONG,2.6425562996868686,CALM
2019-06-25,LONG,2.6381594234234558,CALM
2019-07-11,LONG,2.5740394214605566,CALM
2019-07-29,LONG,2.5378369255317788,CALM
2020-03-06,SHORT,-4.44182133576111,STRESS
2021-03-18,LONG,2.6999244549194237,CALM
2021-05-26,LONG,2.5784106499429233,CALM
2021-11-05,SHORT,-3.5012876235092003,CALM
2022-02-28,SHORT,-3.9691090358894154,STRESS
2022-03-07,SHORT,-5.2512409061157195,STRESS
2023-02-21,LONG,2.5115243424547864,CALM
2023-03-15,SHORT,-3.9526490781754435,STRESS
2023-10-02,LONG,3.202125678505455,CALM
2024-08-02,SHORT,-3.6072926578236872,STRESS
2025-05-21,LONG,2.512467718176918,CALM
2025-10-16,SHORT,-4.585985665586804,STRESS
2026-01-20,LONG,3.2637444660952,CALM
2026-02-13,SHORT,-3.6613961157608017,STRESS
