date,signal,z_final,weight,regime
2010-05-07,SHORT,-4.468630594566195,0.0,STRESS
2010-12-17,LONG,2.1485718636657016,1.0,CALM
2011-12-21,NEUTRAL,-0.903293713553168,0.5,CALM
2012-03-21,LONG,3.0262255107213196,1.0,CALM
2012-05-16,SHORT,-2.0975874954895195,0.0,STRESS
2012-11-07,LONG,1.2097955415383408,1.0,CALM
2014-08-21,NEUTRAL,-2.002439804737235,0.5,CALM
2014-10-15,SHORT,-4.777316980988635,0.0,STRESS
2015-05-05,LONG,4.288753291583533,1.0,CALM
2016-02-12,SHORT,-2.5412571692557364,0.0,STRESS
2016-11-08,LONG,0.27987218770685096,1.0,CALM
2017-12-19,NEUTRAL,-0.767162179932059,0.5,CALM
2018-05-17,LONG,4.185926060090264,1.0,CALM
2018-08-14,SHORT,-0.9051493569890964,0.0,CALM
2018-10-08,LONG,2.9653144479083933,1.0,STRESS
2019-10-10,NEUTRAL,0.13744060028046456,0.5,CALM
2019-11-12,LONG,2.7359298786093245,1.0,CALM
2020-03-10,SHORT,-2.3315331500351184,0.0,STRESS
2021-03-11,NEUTRAL,2.8227292788875946,0.5,STRESS
2021-03-18,LONG,3.9089258125068147,1.0,CALM
2021-07-21,SHORT,-1.7611317848580448,0.0,CALM
2023-10-05,LONG,1.728436543272106,1.0,CALM
2024-08-06,SHORT,-2.609549571907299,0.0,STRESS
2025-05-27,LONG,1.5004462611350893,1.0,CALM
2025-10-20,SHORT,-3.0066310568277506,0.0,CALM
