group,n_spreads,window,long_th,short_th,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
all_6,6,10,1,-1,-0.4074580182964696,-0.41418335680998997,-0.029952760195321337,0.1090908098771032,-0.4723440112737475,-0.06341301991857409,-0.40547680566863253,379
all_6,6,10,1,-2,-0.4906985739655256,-0.4951656155407337,-0.03841186547481634,0.10855122574441432,-0.5258530974393184,-0.07304676089551596,-0.48816846781605827,401
all_6,6,10,1,-3,-0.46845255058554314,-0.4756752346632213,-0.03563609547322355,0.10774282336945423,-0.48900298745138654,-0.07287500564966641,-0.4623090891513183,422
all_6,6,10,1,-4,-0.49976629781401455,-0.5066297377098651,-0.03896525878981438,0.10788051302516802,-0.5183431255127512,-0.07517271257580485,-0.49318192239932157,428
all_6,6,10,1,-5,-0.4602742126512349,-0.4656573042234994,-0.03521271092290523,0.1085208857417897,-0.48674600824394393,-0.07234309131767461,-0.4582583135003915,445
all_6,6,10,1,-6,-0.46783454538570585,-0.4714904105562741,-0.03552258631167826,0.1076530049356926,-0.4876028686313672,-0.07285147113958779,-0.4612258854224277,463
all_6,6,10,1,-7,-0.4208769180509591,-0.42450612157124823,-0.031105049606225954,0.10857342286292043,-0.4459584941681061,-0.06974875467783054,-0.417437757806159,468
all_6,6,10,1,-8,-0.5316963943911098,-0.5349283079701084,-0.04320696227010501,0.10940926572890809,-0.5449083855107647,-0.07929215886374252,-0.5301025006199992,501
all_6,6,10,1,-9,-0.4375431703110084,-0.4373201396045098,-0.03408148009164247,0.11088802023469997,-0.46255709864789607,-0.0736805903341799,-0.44729374076179806,506
all_6,6,10,1,-10,-0.47042086332366617,-0.46863089322320456,-0.038633896429567605,0.11273898147754897,-0.5062882643375528,-0.07630810182834812,-0.49018553519554164,504
all_6,6,10,1,-11,-0.40047911377733053,-0.39820848873348913,-0.031175312479556072,0.11304681494833986,-0.4502856395291002,-0.06923452524970282,-0.4181597192433516,488
all_6,6,10,1,-12,-0.3592675664131507,-0.3503673498001394,-0.028442907348215973,0.11693323472081663,-0.43481020856861363,-0.06541453440536607,-0.38945408392632475,433
all_6,6,10,2,-1,-0.39675518764415413,-0.40600851867489635,-0.028193730960129337,0.10782313491246928,-0.43755513937290735,-0.06443469273503645,-0.38677102832639065,386
all_6,6,10,2,-2,-0.5090960530809242,-0.5154488890819517,-0.0394103964197039,0.10700275585312999,-0.5203171523289104,-0.07574302758097666,-0.49718104555108944,409
all_6,6,10,2,-3,-0.4853852507206141,-0.49445444691323953,-0.036431943822848534,0.10606151928665404,-0.4961660884567419,-0.07342691221837673,-0.46984638234381826,430
all_6,6,10,2,-4,-0.5171628076682335,-0.5259142711520062,-0.03975835972311814,0.10620125906543507,-0.5250949396274152,-0.07571651661950687,-0.500286443545322,436
all_6,6,10,2,-5,-0.49344233627051404,-0.5006771630003423,-0.037576935664505484,0.1066189562163558,-0.5078332585402792,-0.07399463314497556,-0.4805159923936242,457
all_6,6,10,2,-6,-0.5166114581572628,-0.522219001092909,-0.03973639778847493,0.10625801660486504,-0.5222052868351197,-0.07609344215816267,-0.5000909794013275,476
all_6,6,10,2,-7,-0.5020083584402592,-0.5060562288110676,-0.03838540337470142,0.10649772114019547,-0.5105799452695383,-0.0751800060506441,-0.4879275691415549,479
all_6,6,10,2,-8,-0.5597013584435585,-0.56478243484624,-0.04478649287954439,0.10729920294722184,-0.557585581816664,-0.08032218611827438,-0.5431921350004902,508
all_6,6,10,2,-9,-0.48949175534032424,-0.4908158137139327,-0.038628932981840114,0.10915432595056478,-0.5024787094144404,-0.07687675568753159,-0.4901405260464221,514
all_6,6,10,2,-10,-0.4770501230727002,-0.4762160890565089,-0.03875935158011967,0.11169661849504776,-0.5073887716969058,-0.07638984885395335,-0.4913219363176845,507
all_6,6,10,2,-11,-0.426973699023511,-0.4258725036023507,-0.03342101707337575,0.11180111810570541,-0.4497852637030119,-0.07430438427045326,-0.4407958804046678,491
all_6,6,10,2,-12,-0.3943594522886118,-0.3847364312448667,-0.031673817342387944,0.11542413545653432,-0.4454827760426046,-0.0710999819650912,-0.4232577925141855,435
all_6,6,10,3,-1,-0.4094973690106416,-0.41948519898852,-0.028588222270228614,0.10594988725676684,-0.4293435659878989,-0.06658588723566519,-0.3910136844451101,401
all_6,6,10,3,-2,-0.4664737982287174,-0.4737930610544601,-0.034172901213008866,0.10547453236027775,-0.47435436918450025,-0.07204086951229768,-0.44818755144879163,419
all_6,6,10,3,-3,-0.44447659119795263,-0.4537076837422136,-0.03145443924558433,0.10458433980537009,-0.4490320768065991,-0.07004942602158899,-0.42101947615656166,438
all_6,6,10,3,-4,-0.47978033423058347,-0.4883270807603355,-0.03513346399500872,0.10477729848176112,-0.48374465084081864,-0.07262811885142635,-0.45749692511910656,445
all_6,6,10,3,-5,-0.48812758285944635,-0.49615896710861496,-0.03628155153485135,0.1053097157303355,-0.4963825467275349,-0.0730919162529829,-0.4684297192643434,462
all_6,6,10,3,-6,-0.5027146385683143,-0.5087352180384525,-0.03756633110360341,0.10497577552584292,-0.5034026776663252,-0.07462481383244415,-0.480418108029417,481
all_6,6,10,3,-7,-0.5064830935264361,-0.5103331537218793,-0.03814091077293913,0.10530490346935592,-0.5084478261866966,-0.07501440424869511,-0.48569676680503937,485
all_6,6,10,3,-8,-0.5836260150311663,-0.5889429623593456,-0.046743624038416476,0.10655175183445775,-0.5728323153138558,-0.08160088526570915,-0.5589349035243281,508
all_6,6,10,3,-9,-0.520913413845375,-0.5243674974694584,-0.04122641252518555,0.10800422530442552,-0.5249707642680214,-0.07853087320523168,-0.513190368279876,511
all_6,6,10,3,-10,-0.4631357274725934,-0.46488716806134706,-0.03655810099006607,0.11042210837820876,-0.48773971552575185,-0.07495411963870689,-0.47103201340878564,503
all_6,6,10,3,-11,-0.396443350845424,-0.39810191599525974,-0.029367666539267034,0.11028415259353712,-0.4426566460661075,-0.06634412201930702,-0.39931529608759486,487
all_6,6,10,3,-12,-0.37276523548995005,-0.36491183499817204,-0.028807684359744345,0.11447661726015679,-0.42916154069622175,-0.06712550316836431,-0.3933619651852289,429
all_6,6,10,4,-1,-0.3966683783843456,-0.4074620465976531,-0.027021441464738727,0.10544924549076827,-0.41347973960988255,-0.0653513071528811,-0.3739985252034701,408
all_6,6,10,4,-2,-0.44823607301749613,-0.45635661372351083,-0.032085062953885135,0.10504968543273965,-0.4546575975029135,-0.07056972792295532,-0.4274318000368007,422
all_6,6,10,4,-3,-0.4417525525775852,-0.4517264917843311,-0.031007973390128285,0.10426248109236425,-0.44467311864278974,-0.06973206180029357,-0.41643889755142927,443
all_6,6,10,4,-4,-0.4721900245556312,-0.4814267311210248,-0.03423289831407095,0.10453907159414387,-0.47544318744115804,-0.07200207978226145,-0.44877339435538355,448
all_6,6,10,4,-5,-0.46831754496267536,-0.47672102048567333,-0.03417435677444647,0.10513957192284792,-0.4772182931259669,-0.07161158167385209,-0.4482017712437195,465
all_6,6,10,4,-6,-0.48813829767442757,-0.4946037997757509,-0.03600345718596787,0.1048204676060355,-0.4894319300013067,-0.0735617252962465,-0.465800736614844,484
all_6,6,10,4,-7,-0.47404009954564513,-0.4790436344465478,-0.03472094821269023,0.10507666515582768,-0.47769183147304023,-0.07268482717324798,-0.4535172579674511,487
all_6,6,10,4,-8,-0.5627429504404063,-0.5678752995718314,-0.044484994746675555,0.10634096805443605,-0.5551917525418035,-0.08012546033512273,-0.540720425229564,509
all_6,6,10,4,-9,-0.4845954658329475,-0.4883171226783944,-0.037299139005310566,0.10772636424816107,-0.49057935801542435,-0.0760307958251636,-0.47794607897552255,513
all_6,6,10,4,-10,-0.4424746369441744,-0.4450197660790607,-0.03421473493031202,0.11015529637001953,-0.4783548193654678,-0.07152584973576198,-0.44859609946258516,505
all_6,6,10,4,-11,-0.36459722340104644,-0.36645690804476244,-0.025813045686856162,0.10998312180123966,-0.4428740981973494,-0.05828529099336398,-0.36057073902710834,486
all_6,6,10,4,-12,-0.34855618696808327,-0.34193598206113285,-0.026051922630419222,0.1143436048939358,-0.4293842580547278,-0.0606727474091487,-0.36324647574764124,426
all_6,6,10,5,-1,-0.4639350316786195,-0.4749893546323215,-0.033502360375914475,0.10472641065591266,-0.4699650487867079,-0.07128691902175774,-0.44160002952854815,428
all_6,6,10,5,-2,-0.5258443883749356,-0.5347340542638972,-0.03953701169110713,0.10437531648367794,-0.5187592504755609,-0.07621456707492437,-0.49831312021081264,441
all_6,6,10,5,-3,-0.5141803970567024,-0.5249138415094614,-0.037736814447970723,0.10331695697677598,-0.5049931399664875,-0.07472738035703816,-0.4819896354535248,460
all_6,6,10,5,-4,-0.551289756450782,-0.5613787145836469,-0.041567392081332644,0.10355191587981197,-0.5376291613655002,-0.0773161038656413,-0.5161422880876815,464
all_6,6,10,5,-5,-0.5069434093893852,-0.515702119995284,-0.03752029313241656,0.10417280449976572,-0.5019960409956353,-0.07474220923734892,-0.4799929576571088,474
all_6,6,10,5,-6,-0.5325311816784087,-0.5389372587221201,-0.0401069287241137,0.10421096844807202,-0.517446948444865,-0.07750925741209037,-0.5033791361820179,493
all_6,6,10,5,-7,-0.5139524739755588,-0.5189725737513701,-0.038378179851122574,0.10443234760827172,-0.5023691641241188,-0.07639437806266428,-0.4878617909912687,496
all_6,6,10,5,-8,-0.6176822967950327,-0.623621583133358,-0.04957368675122731,0.10564497381834974,-0.5883955719485559,-0.084252311055056,-0.5807982887979471,517
all_6,6,10,5,-9,-0.516288699072346,-0.5198615249925792,-0.04035229410455876,0.10734366830423438,-0.5113751838775585,-0.07890937099955272,-0.5055453332406481,518
all_6,6,10,5,-10,-0.4927904018226028,-0.49455618895503095,-0.03940180884795452,0.10989198997840412,-0.5065698459146178,-0.07778159155291624,-0.4971041765311689,509
all_6,6,10,5,-11,-0.3980121212670436,-0.39916260584710866,-0.029121707607236758,0.10944373445570074,-0.4407072740632053,-0.0660794802380779,-0.39670724280349345,492
all_6,6,10,5,-12,-0.3762617318790877,-0.36829662100623867,-0.028913247323537283,0.11388218854224377,-0.4250973051402993,-0.06801559777941839,-0.3944884672309592,427
all_6,6,10,6,-1,-0.3917873917464682,-0.40191332211503683,-0.02484302196925614,0.10197577558235565,-0.3791665359072691,-0.06552008053614698,-0.3495960315782236,443
all_6,6,10,6,-2,-0.43777589434977904,-0.44724973895140246,-0.029295667365003997,0.10176517234501721,-0.4198238561311527,-0.06978085436824735,-0.3985529457018232,454
all_6,6,10,6,-3,-0.3859698279800848,-0.39695585711520287,-0.023939951722668384,0.10129614258469609,-0.37036088777562476,-0.06463952461732918,-0.33921963345118655,469
all_6,6,10,6,-4,-0.42122025348030506,-0.43201644537682193,-0.027533546835292744,0.10152033922548294,-0.40382830374949813,-0.06818132007996223,-0.3796085962323653,473
all_6,6,10,6,-5,-0.3895278355388606,-0.3998306750409531,-0.024333265541251925,0.10138312587407503,-0.3679950369440565,-0.06612389597240989,-0.3437578750799454,482
all_6,6,10,6,-6,-0.40395749796344876,-0.412702177152886,-0.025926545146007007,0.10172021520990464,-0.3764372201052498,-0.06887349008357378,-0.3618433999045283,498
all_6,6,10,6,-7,-0.41032107222242814,-0.4177704037340821,-0.026975740401992576,0.10255956066011639,-0.3878229096043441,-0.06955685116568579,-0.3734955592936936,499
all_6,6,10,6,-8,-0.5244665755958218,-0.5342237511008275,-0.038734387389035785,0.10327760460482306,-0.49751202419149726,-0.07785618337965343,-0.4910959952759324,525
all_6,6,10,6,-9,-0.4187425867810633,-0.4250377339400667,-0.028974783609936217,0.10484289655963822,-0.4022757660305902,-0.07202716657739928,-0.3951442350662878,519
all_6,6,10,6,-10,-0.3835487641421943,-0.3868000840943346,-0.02684186003786082,0.10789637091699888,-0.4528400025550938,-0.059274489635210974,-0.3720199397521343,504
all_6,6,10,6,-11,-0.3093086015771381,-0.3106749641145977,-0.018915529786194485,0.10765483861310256,-0.4280859296870014,-0.044186291756948735,-0.2785835462706241,483
all_6,6,10,6,-12,-0.3204821486803616,-0.3161595888210044,-0.0221267507711157,0.11247555793716502,-0.4211364765165195,-0.05254057058685525,-0.31791329308233973,418
all_6,6,10,7,-1,-0.42933131615582526,-0.4371357558172207,-0.02590316893831779,0.09679228553031569,-0.39580137362287127,-0.06544486872599621,-0.36158147941999375,456
all_6,6,10,7,-2,-0.4783421094750295,-0.48527334589544807,-0.03035545319505295,0.09650826308959706,-0.4354139080403374,-0.06971631506139389,-0.40968286424753875,465
all_6,6,10,7,-3,-0.42653955931154725,-0.4353862750191131,-0.025317577684020653,0.09616144831076825,-0.38545126094092913,-0.0656829546288619,-0.3549870570377368,480
all_6,6,10,7,-4,-0.463517452809742,-0.47171719207812374,-0.028906100741979635,0.09639729810634876,-0.42301440204743035,-0.06833360897896462,-0.39441226557222553,484
all_6,6,10,7,-5,-0.4139926002589109,-0.42154897830092686,-0.02417264313133749,0.09622561166167487,-0.37161580433457014,-0.06504740339184975,-0.3419080940670809,491
all_6,6,10,7,-6,-0.43598216628812614,-0.44174400180587353,-0.026428356512491313,0.09659596330059121,-0.38717590080325004,-0.06825930141225739,-0.36744164574501703,506
all_6,6,10,7,-7,-0.4305311774749292,-0.43659728799715186,-0.02635718123920794,0.09745706455348607,-0.386409371766513,-0.06821051238667732,-0.36665043282339294,509
all_6,6,10,7,-8,-0.5106841137044013,-0.5192853262914633,-0.034332195128115806,0.09813529514979877,-0.4566790987225125,-0.07517794272642363,-0.4497416936882562,534
all_6,6,10,7,-9,-0.4060194792168937,-0.4128464733414464,-0.025466780223546093,0.10037969209104827,-0.36524157672054586,-0.06972585227620806,-0.3566733087397166,524
all_6,6,10,7,-10,-0.37234738566074105,-0.3756491625739276,-0.023588565492857927,0.10344643901004041,-0.40371675638722826,-0.05842850245787856,-0.3351401959693673,507
all_6,6,10,7,-11,-0.3370462300431494,-0.3380599000883141,-0.020054211306272718,0.10353465509116876,-0.3989008720720859,-0.05027367125597232,-0.29276775647047415,489
all_6,6,10,7,-12,-0.33504778744441904,-0.32972057542047606,-0.021995734488713392,0.10849997888381077,-0.4078112521423406,-0.05393606569991379,-0.31634896914080235,425
all_6,6,10,8,-1,-0.25391169795426255,-0.26215155406134283,-0.008085301210190132,0.09351620009854004,-0.27115044169407493,-0.029818506507587994,-0.1296102422714489,473
all_6,6,10,8,-2,-0.27775319209002325,-0.2844586568949156,-0.01028766642739376,0.0934953850362691,-0.27113259676801293,-0.03794330357185387,-0.16207111240474237,483
all_6,6,10,8,-3,-0.27878759054638,-0.28604356443923074,-0.010296558330350258,0.09326024503987408,-0.26720209949270624,-0.03853472090937415,-0.16219982985851822,498
all_6,6,10,8,-4,-0.32310300135896364,-0.3305911626075594,-0.014519149956422783,0.09360190858942388,-0.28755272264234455,-0.05049213174893694,-0.22126610044960804,502
all_6,6,10,8,-5,-0.279099117748414,-0.2851749863226446,-0.010509600503380345,0.09375952590077143,-0.2739488613187119,-0.038363366260367425,-0.16527822625153177,510
all_6,6,10,8,-6,-0.27923709968029875,-0.2849519812597905,-0.010561840138738288,0.09386525260473826,-0.26593036433420064,-0.039716563263399986,-0.1660314459914497,522
all_6,6,10,8,-7,-0.28525771702359404,-0.29129362899718714,-0.011491774923919174,0.09485574801937759,-0.2990365150025318,-0.038429336711009614,-0.17933313907526605,523
all_6,6,10,8,-8,-0.34608388944849455,-0.35511244252477125,-0.017534346495238773,0.09567673901274817,-0.32031840611928614,-0.054740365087571664,-0.2610190598412442,545
all_6,6,10,8,-9,-0.2864607916924278,-0.2927158314739945,-0.012811766853093043,0.09804904270738143,-0.32708267268433694,-0.03916981216995712,-0.19787152547444586,536
all_6,6,10,8,-10,-0.29328955948185886,-0.29772848094443405,-0.014595335829119982,0.10094874300057506,-0.38515952729123687,-0.03789426145516005,-0.22229487698510664,526
all_6,6,10,8,-11,-0.2395460289825751,-0.2420899183175794,-0.009204188914119782,0.10085956595780664,-0.3498195188503718,-0.026311250282339695,-0.14624678156415116,508
all_6,6,10,8,-12,-0.28009934103738987,-0.276421208002778,-0.015451313424724833,0.1066788513094539,-0.3669100287620894,-0.042111995348984375,-0.2337659653906058,437
all_6,6,10,9,-1,-0.2880216875266531,-0.2965923432625823,-0.009313462651812654,0.08836841882991393,-0.28559026364846135,-0.03261127509331613,-0.14785540513466866,497
all_6,6,10,9,-2,-0.37647724903229923,-0.38357076427071,-0.01708538009556748,0.0884935793682055,-0.3360229807552645,-0.05084586791404982,-0.25522338592817406,505
all_6,6,10,9,-3,-0.32853603457289043,-0.33546222182128066,-0.0132128063097956,0.0892381299702086,-0.3394517400384576,-0.03892396105643376,-0.20342528938061155,513
all_6,6,10,9,-4,-0.3545286754130242,-0.3619493970486742,-0.01570058269323671,0.08969904688765068,-0.33945174003846107,-0.046252768335957796,-0.2370763927613203,512
all_6,6,10,9,-5,-0.37860815401229236,-0.38452482554912043,-0.017853293015845706,0.08976074443225798,-0.2975451983027659,-0.06000195304001902,-0.2651104900735165,522
all_6,6,10,9,-6,-0.3411550331678016,-0.34661693496418766,-0.014824543360928533,0.09041654157817511,-0.35071368485909177,-0.04226964615562313,-0.22538227215493933,529
all_6,6,10,9,-7,-0.32955629557744165,-0.335688440341792,-0.014437504646776622,0.09197798839250274,-0.2875046495517446,-0.05021659534649781,-0.22016218010290833,529
all_6,6,10,9,-8,-0.38413134108730995,-0.3938470850429662,-0.01961931217681212,0.09250880002879683,-0.3526156086167657,-0.05563937527829358,-0.28738162854820837,550
all_6,6,10,9,-9,-0.2805369104743831,-0.28590451491706614,-0.010754830137211568,0.09406472764676391,-0.3219648869174816,-0.033403736165701796,-0.1688085365006644,540
all_6,6,10,9,-10,-0.37444197961570513,-0.3800022935594537,-0.020819912944740282,0.09702987981340416,-0.42045146856802335,-0.04951799316018301,-0.3021577672381873,535
